epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,205.079,1.66391,2.3475,1.49639,0.77542,0.55256,0.64709,0.34283,1.63554,1.62062,1.39005,0.00997642,0.00332547,0.00997642,0.00332547,0.00997642,0.00332547,0.00997642,0.00332547
2,294.11,1.54552,1.60187,1.36035,0.76327,0.55245,0.65622,0.34791,1.63145,1.47205,1.39917,0.0199715,0.00665718,0.0199715,0.00665718,0.0199715,0.00665718,0.0199715,0.00665718
3,375.151,1.57053,1.49735,1.40317,0.63273,0.4533,0.50276,0.24265,1.82945,1.6978,1.57756,0.0299471,0.00998238,0.0299471,0.00998238,0.0299471,0.00998238,0.0299471,0.00998238
4,454.596,1.57236,1.445,1.42334,0.70464,0.55677,0.61044,0.32403,1.6623,1.26814,1.45765,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,541.291,1.56222,1.36834,1.4057,0.77914,0.59639,0.68616,0.37138,1.59664,1.12679,1.42319,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,626.301,1.50657,1.27401,1.38823,0.73563,0.64055,0.68847,0.40115,1.43816,1.0662,1.33131,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,706.944,1.47751,1.23567,1.37609,0.76871,0.62398,0.6993,0.39925,1.48065,1.0085,1.38106,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,794.472,1.45977,1.20785,1.36379,0.72506,0.63721,0.68599,0.39134,1.45371,1.0349,1.34358,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,875.178,1.43717,1.16462,1.35237,0.75627,0.63866,0.71336,0.4095,1.46836,0.99369,1.3408,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,953.443,1.42941,1.14998,1.3415,0.74901,0.65176,0.71848,0.40353,1.48274,0.99043,1.35449,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,1033.24,1.41905,1.13995,1.33748,0.79184,0.6409,0.72927,0.42815,1.41116,0.94288,1.32373,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,1113.63,1.39475,1.11223,1.32717,0.79927,0.64163,0.72675,0.42446,1.39264,0.93606,1.30105,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,1195.65,1.38497,1.09745,1.31635,0.75397,0.67954,0.73499,0.43938,1.37786,0.91322,1.29684,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,1277.06,1.38039,1.08005,1.31325,0.74548,0.67217,0.73794,0.45226,1.3465,0.89299,1.27389,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,1360.19,1.3739,1.06792,1.30213,0.76316,0.65554,0.73967,0.44479,1.34864,0.89798,1.27791,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,1446.87,1.36167,1.05409,1.29701,0.74798,0.67269,0.7433,0.45104,1.33159,0.86977,1.27033,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,1552.37,1.35908,1.0345,1.28505,0.78456,0.66654,0.74914,0.45141,1.34092,0.87092,1.2751,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,1702.58,1.35364,1.04839,1.28656,0.75191,0.66421,0.73962,0.44805,1.35254,0.87947,1.28239,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,1852.18,1.33326,1.02001,1.27752,0.80438,0.67494,0.75456,0.45218,1.35463,0.86462,1.2759,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,1994.85,1.32947,1.01605,1.27782,0.74668,0.68489,0.74467,0.45929,1.29875,0.86856,1.24862,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,2137.81,1.32343,1.0116,1.27578,0.79058,0.64696,0.73972,0.45528,1.32732,0.87969,1.25732,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,2281.22,1.3182,1.00082,1.26467,0.79255,0.66988,0.75276,0.46685,1.29327,0.85377,1.24874,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,2373.57,1.31788,1.00311,1.27137,0.79122,0.69063,0.77051,0.47332,1.31105,0.83315,1.25267,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,2457.35,1.30933,0.99393,1.26605,0.77505,0.69988,0.7655,0.46545,1.31993,0.83209,1.25925,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,2535.31,1.2944,0.97662,1.25768,0.75662,0.70886,0.76941,0.47068,1.31041,0.82252,1.25826,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
